,windlat26.0lon-97.5p65,windlat27.0lon-99.375p65,windlat27.5lon-99.375p65,windlat28.0lon-99.375p65,windlat28.5lon-100.0p65,windlat28.5lon-97.5p65,windlat29.0lon-99.375p65,windlat29.0lon-96.875p65,windlat29.5lon-98.75p65,windlat29.5lon-96.25p65,solarlat26.0lon-97.5p65,solarlat27.0lon-99.375p65,solarlat27.5lon-99.375p65,solarlat28.0lon-99.375p65,solarlat28.5lon-100.0p65,solarlat28.5lon-97.5p65,solarlat29.0lon-99.375p65,solarlat29.0lon-96.875p65,solarlat29.5lon-98.75p65,solarlat29.5lon-96.25p65,windlat29.5lon-103.125p61,windlat30.0lon-103.75p61,windlat30.0lon-101.25p61,windlat30.5lon-103.125p61,windlat30.5lon-100.625p61,windlat31.0lon-105.0p61,windlat31.0lon-102.5p61,windlat31.5lon-105.625p61,windlat31.5lon-100.625p61,windlat32.0lon-104.375p61,windlat32.0lon-99.375p61,windlat32.5lon-100.0p61,solarlat29.5lon-103.125p61,solarlat30.0lon-103.75p61,solarlat30.0lon-101.25p61,solarlat30.5lon-103.125p61,solarlat30.5lon-100.625p61,solarlat31.0lon-105.0p61,solarlat31.0lon-102.5p61,solarlat31.5lon-105.625p61,solarlat31.5lon-100.625p61,solarlat32.0lon-104.375p61,solarlat32.0lon-99.375p61,solarlat32.5lon-100.0p61,windlat30.0lon-98.75p64,windlat30.0lon-96.25p64,windlat30.5lon-98.125p64,windlat31.0lon-100.0p64,solarlat30.0lon-98.75p64,solarlat30.0lon-96.25p64,solarlat30.5lon-98.125p64,solarlat31.0lon-100.0p64,windlat31.0lon-97.5p63,windlat31.5lon-98.125p63,windlat31.5lon-95.625p63,windlat32.0lon-96.875p63,windlat32.5lon-97.5p63,windlat32.5lon-95.0p63,windlat33.0lon-97.5p63,windlat33.5lon-98.75p63,windlat33.5lon-96.25p63,windlat34.0lon-98.125p63,solarlat31.0lon-97.5p63,solarlat31.5lon-98.125p63,solarlat31.5lon-95.625p63,solarlat32.0lon-96.875p63,solarlat32.5lon-97.5p63,solarlat32.5lon-95.0p63,solarlat33.0lon-98.75p63,solarlat33.0lon-96.25p63,solarlat33.5lon-97.5p63,solarlat33.5lon-95.0p63,solarlat34.0lon-98.75p63,windlat31.5lon-103.125p62,windlat32.0lon-101.875p62,windlat32.5lon-102.5p62,solarlat31.5lon-103.125p62,solarlat32.0lon-101.875p62,solarlat32.5lon-102.5p62,windlat33.0lon-100.0p60,windlat33.5lon-101.25p60,windlat34.0lon-100.625p60,windlat34.5lon-100.625p60,solarlat33.5lon-100.0p60,solarlat34.5lon-100.0p60
2050-08-02 15:00:00,0.333605,0.075706944,0.0,0.027211599,0.11087804,0.02683245,0.074905254,0.0061996873,0.07323792,0.042542517,0.4746598,0.52172506,0.5167334,0.5242098,0.4644249,0.49904945,0.5122561,0.5072554,0.45596147,0.5023785,0.0,0.02735987,0.0,0.035075124,0.073661655,0.029883841,0.048810214,0.21902546,0.08434921,0.0011593421,0.14864093,0.023161268,0.423978,0.45597887,0.3569032,0.42821538,0.28859282,0.34448466,0.35517824,0.5797693,0.19366053,0.5601224,0.25424048,0.44346684,0.36445436,0.031067265,0.22171134,0.26109508,0.27790937,0.51141787,0.29612288,0.25503263,0.10933863,0.31229454,0.0,0.07683648,0.17745814,0.0,0.13585362,0.07712079,0.0,0.019627962,0.4144528,0.50508773,0.46686321,0.52686733,0.53229684,0.43648043,0.53752464,0.5204805,0.39503554,0.52654016,0.5385146,0.00865258,0.0,0.0,0.34927508,0.43037024,0.55082273,0.039216373,0.031291768,0.07333408,0.057928987,0.5551308,0.5776381
2050-08-02 16:00:00,0.49324918,0.11078743,0.0026448613,0.036376607,0.08415422,0.076740466,0.0870225,0.033640012,0.12950067,0.09469877,0.3302058,0.37132,0.3719434,0.3774105,0.37154326,0.33739987,0.3499076,0.3555044,0.2485024,0.35047427,0.0,0.027754894,0.0,0.03526978,0.05203178,0.025896983,0.054943815,0.21026474,0.094858356,0.012746319,0.18920328,0.039739974,0.3111968,0.34634826,0.26009598,0.2833753,0.23252292,0.25618094,0.19053906,0.45729497,0.16628365,0.43413025,0.20209917,0.28734103,0.3941588,0.059646733,0.22919005,0.23441644,0.23492396,0.35752943,0.23665795,0.21231376,0.101632744,0.4000433,0.00013196413,0.08334895,0.3583398,0.0,0.21954957,0.08358448,0.0,0.0127569325,0.30071986,0.37621275,0.3104595,0.3746191,0.3593919,0.28332937,0.34242883,0.37382838,0.24228726,0.3589111,0.38696352,0.024073945,0.0,0.0,0.25490645,0.24775685,0.39239213,0.03329399,0.03281129,0.070670016,0.061908122,0.41594476,0.43988758
2050-08-02 17:00:00,0.679662,0.16702317,0.027907655,0.057208497,0.08768324,0.19425015,0.16732547,0.11879127,0.22917774,0.19434497,0.17541271,0.20268053,0.20350125,0.20469752,0.20762588,0.17884964,0.18637672,0.17765054,0.12101977,0.1685663,0.0,0.032539852,0.0,0.04197384,0.034245536,0.021346033,0.06693932,0.2284024,0.08310022,0.028238244,0.1919981,0.05860474,0.19492643,0.227416,0.16769826,0.17369387,0.1632433,0.19066955,0.13782355,0.2760146,0.12543853,0.25313163,0.15538856,0.14951181,0.32120937,0.101051584,0.20992033,0.19520196,0.17018956,0.16886596,0.15370072,0.1452804,0.09084485,0.5161947,0.010185341,0.11082531,0.57584524,0.0,0.24238053,0.102835424,0.003999158,0.014474501,0.17575881,0.19276398,0.15768644,0.18019815,0.18456976,0.15291092,0.16826814,0.18420476,0.13566902,0.16562767,0.20546235,0.048031546,0.0026237594,0.0,0.20747867,0.14271542,0.21903633,0.045421407,0.033509556,0.069303945,0.06469723,0.22722527,0.24911143
2050-08-02 18:00:00,0.79602003,0.25571412,0.11426218,0.10350344,0.1485502,0.40555888,0.3447894,0.3307623,0.26919064,0.38491398,0.044702582,0.06666604,0.06591365,0.069333605,0.06984728,0.05561895,0.057752006,0.050395984,0.051341157,0.05056354,0.0,0.04404223,0.0,0.04841893,0.035777975,0.013639431,0.074818894,0.2508982,0.07891295,0.062243965,0.17597055,0.062021703,0.08803606,0.09786019,0.07595419,0.09121319,0.07727033,0.1114511,0.07666163,0.117193155,0.068864875,0.10623072,0.06938123,0.06910263,0.24635135,0.17011194,0.22362529,0.17749691,0.06402619,0.041417662,0.06259072,0.0726462,0.09968043,0.64690435,0.027999345,0.18680015,0.6811233,0.0,0.1893501,0.112863645,0.051390953,0.022346074,0.05031268,0.04637228,0.042593613,0.042010736,0.05264123,0.0459298,0.06531386,0.04785584,0.059895292,0.04300777,0.053566508,0.08441586,0.022796081,0.0062195645,0.087781675,0.07048152,0.092507005,0.057490073,0.03619715,0.06826512,0.0695568,0.04426786,0.07541158
2050-08-02 19:00:00,0.8188651,0.3105472,0.3532919,0.2692775,0.30805343,0.46612713,0.5057021,0.5664749,0.2292688,0.5961222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07290705,0.0,0.053756244,0.061979093,0.00512947,0.07721765,0.23559937,0.11221601,0.12388493,0.17862742,0.05952589,0.014406076,0.021250116,0.002107742,0.01797091,0.0,0.027746135,0.013795843,0.028889012,0.0023091936,0.024371477,0.0,0.0,0.21018927,0.33950275,0.31575036,0.20311655,0.0,0.0,0.0,0.0,0.17696251,0.70778334,0.08862778,0.38809758,0.61963844,0.0032478436,0.10481523,0.10868674,0.15408663,0.031760667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18359607,0.041105535,0.049993236,0.01915904,0.010719007,0.016517576,0.056028303,0.05121999,0.06608013,0.0810521,0.0013635949,0.007903469
2050-08-02 20:00:00,0.8247771,0.23686622,0.6145442,0.5464656,0.42395484,0.42104197,0.52455217,0.52537835,0.22594427,0.6033478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12101913,0.016907059,0.06504628,0.10724774,0.0,0.086423054,0.1941481,0.18919821,0.18212663,0.24353755,0.06043307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2131982,0.56735206,0.43046904,0.29684028,0.0,0.0,0.0,0.0,0.3363978,0.6672499,0.20214479,0.58054763,0.42706016,0.01661401,0.07597568,0.099023364,0.30763385,0.041208494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375343,0.07146761,0.1388306,0.0,0.0,0.0,0.04619908,0.08343311,0.07606538,0.10768524,0.0,0.0
2050-08-02 21:00:00,0.7945959,0.15313834,0.6659292,0.5798454,0.3758941,0.3727146,0.46682563,0.48463213,0.34791267,0.54783267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370474,0.036305025,0.066801116,0.14875098,0.0,0.07937276,0.17615652,0.24481043,0.16103503,0.30368003,0.061177377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2956978,0.5964225,0.4589557,0.34821823,0.0,0.0,0.0,0.0,0.4303248,0.5745256,0.26314586,0.57694846,0.3459018,0.023168895,0.07421633,0.07971625,0.41977343,0.042736083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899722,0.11752664,0.22336002,0.0,0.0,0.0,0.03619066,0.10717045,0.07428927,0.08216215,0.0,0.0
2050-08-02 22:00:00,0.7353985,0.09317999,0.66140527,0.50068307,0.2407573,0.3503575,0.37009323,0.45559797,0.47464997,0.45716324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13226356,0.060102604,0.062467374,0.19973008,0.0,0.06352627,0.15525809,0.28272143,0.13226335,0.33513567,0.06800078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44149256,0.5268695,0.44843954,0.3837684,0.0,0.0,0.0,0.0,0.40632576,0.5020587,0.2514508,0.4620245,0.3408029,0.027205715,0.08533307,0.06671917,0.4049612,0.037331294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14674069,0.18470205,0.2752184,0.0,0.0,0.0,0.032776676,0.12158428,0.06503789,0.04852892,0.0,0.0
2050-08-02 23:00:00,0.6817791,0.06180827,0.613127,0.41400003,0.14310326,0.32411465,0.3092106,0.41894773,0.5201796,0.31757286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13752213,0.06584427,0.06902491,0.23595566,0.008763507,0.054250352,0.107506,0.32232898,0.116382435,0.34152836,0.07708143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58535045,0.37085253,0.46430245,0.4141485,0.0,0.0,0.0,0.0,0.37048155,0.45206204,0.21239612,0.34968966,0.35975525,0.03297873,0.11675989,0.057563078,0.37172142,0.033445805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057250474,0.22686213,0.27732348,0.0,0.0,0.0,0.030604038,0.13554716,0.05318946,0.02553767,0.0,0.0
2050-08-03 00:00:00,0.5676866,0.041943092,0.51140875,0.33924416,0.10334381,0.26482937,0.22380605,0.34460014,0.4410935,0.23615567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15595849,0.029641977,0.0884708,0.21318303,0.027384676,0.04815611,0.047146253,0.34907237,0.103780195,0.34205964,0.10244647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65576303,0.22977103,0.5324653,0.39871553,0.0,0.0,0.0,0.0,0.38943842,0.36282325,0.18220365,0.27085137,0.40886715,0.026139066,0.14051287,0.051883247,0.38868305,0.03103186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020197505,0.19879688,0.21973038,0.0,0.0,0.0,0.027725035,0.1455143,0.03726902,0.0072645973,0.0,0.0
2050-08-03 01:00:00,0.4670504,0.028882664,0.31800607,0.23744445,0.07808093,0.19410938,0.13951774,0.25196642,0.34992602,0.16218157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180334,0.0,0.11327937,0.1747222,0.051156,0.047839276,0.007849181,0.3511028,0.090819664,0.32618275,0.13967966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60375655,0.14041503,0.5299273,0.36436164,0.0,0.0,0.0,0.0,0.42170742,0.30370668,0.20463763,0.21996011,0.45125574,0.007659789,0.14919177,0.04473384,0.42822614,0.023723515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087456,0.13944855,0.15796381,0.0,0.0,0.0,0.027742779,0.14783798,0.02597804,0.0,0.0,0.0
2050-08-03 02:00:00,0.36581588,0.020534545,0.14757721,0.12307037,0.06013636,0.13423036,0.08826192,0.20154792,0.30269444,0.15469097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17456678,0.0,0.10852137,0.1612928,0.067897275,0.0410305,0.0,0.30820724,0.08447376,0.2734043,0.14770202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536936,0.11926576,0.4723189,0.35656685,0.0,0.0,0.0,0.0,0.38256684,0.28317136,0.30701518,0.19540441,0.37173772,0.0,0.14643593,0.046208363,0.43290895,0.021244023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034473569,0.08461709,0.1319629,0.0,0.0,0.0,0.024926757,0.13227,0.017225968,0.0,0.0,0.0
2050-08-03 03:00:00,0.29869458,0.008882018,0.064197384,0.004678565,0.036143117,0.08055682,0.036072616,0.14412072,0.21760595,0.12337585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13588631,0.0,0.07327725,0.18793397,0.08634754,0.027094759,0.0,0.25721738,0.095201954,0.23597214,0.1397313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45095965,0.062355064,0.40108913,0.3619071,0.0,0.0,0.0,0.0,0.3743576,0.27137047,0.37949786,0.17816968,0.30481765,0.0,0.12165655,0.04662791,0.36202535,0.020178841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033691473,0.1046325,0.0,0.0,0.0,0.015763612,0.09026953,0.013223293,0.0,0.0,0.0
2050-08-03 04:00:00,0.24712276,0.0,0.024281938,0.0,0.018768718,0.03980611,0.00805282,0.108793624,0.14200568,0.09871876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09624403,0.0,0.047199305,0.20846099,0.12639621,0.016202947,0.0,0.24802901,0.11971942,0.24598289,0.11356728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4436116,0.018610938,0.42100492,0.34544748,0.0,0.0,0.0,0.0,0.38833955,0.23018721,0.41173062,0.15247104,0.26647663,0.0,0.09304517,0.043052338,0.29555556,0.019200016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010840583,0.068442844,0.0,0.0,0.0,0.003064878,0.04555424,0.010834127,0.0,0.0,0.0
2050-08-03 05:00:00,0.19554155,0.0,0.007533548,0.0,0.004258271,0.012716658,0.0,0.0885072,0.102736495,0.091309585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07241288,0.0,0.033481408,0.17805044,0.17319621,0.011254218,0.0,0.25621954,0.15494213,0.27983186,0.08963344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46817547,0.0,0.46511483,0.2919462,0.0,0.0,0.0,0.0,0.41926378,0.19143076,0.45026195,0.1313076,0.24385126,0.0016432831,0.08012251,0.03464322,0.24249749,0.01679487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041358482,0.0,0.0,0.0,0.0,0.014194588,0.01293548,0.0,0.0,0.0
