,p61,p62,p60,p63,p64,p65,p67
2050-08-01 18:00:00,2156.4897300000002,2054.32967,957.697285,36416.8801,10162.86182,15285.04874,23584.2077
2050-08-01 19:00:00,2080.75994,1982.18831,924.066017,35138.0309,9805.96575,14748.29075,22756.0063
2050-08-01 20:00:00,2002.0387489999998,1907.195502,889.1062619999999,33808.6734,9434.974979999999,14190.31416,21895.073640000002
2050-08-01 21:00:00,1847.850707,1760.3112190000004,820.632153,31204.896,8708.32615,13097.4361,20208.81028
2050-08-01 22:00:00,1696.6543299999994,1616.279572,753.485812,28651.631,7995.79722,12025.78426,18555.27144
2050-08-01 23:00:00,1557.536089,1483.749965,691.7031509999998,26302.30635,7340.18023,11039.71815,17033.82792
2050-08-02 00:00:00,1457.111144,1388.083214,647.104136,24606.433090000002,6866.90695,10327.90171,15935.53079
2050-08-02 01:00:00,1384.962587,1319.352965,615.062717,23388.061230000007,6526.890750000001,9816.52038,15146.497119999998
2050-08-02 02:00:00,1335.189174,1271.936897,592.9587019999999,22547.5216,6292.33304,9463.728729999999,14602.14917
2050-08-02 03:00:00,1313.5445300000001,1251.31663,583.3459740000002,22181.99,6190.323570000001,9310.30983,14365.42626
2050-08-02 04:00:00,1337.474596,1274.115778,593.9730000000002,22586.115,6303.0946,9479.93331,14627.1513
2050-08-02 05:00:00,1385.74581,1320.098323,615.4106019999998,23401.2583,6530.580660000001,9822.07153,15155.0507
2050-08-02 06:00:00,1409.99122,1343.1947699999996,626.1781599999998,23810.7026,6644.8419,9993.9213,15420.221
2050-08-02 07:00:00,1501.05277,1429.94426,666.61816,25348.4788,7073.9893,10639.3577,16416.094399999998
2050-08-02 08:00:00,1627.52061,1550.42024,722.7823400000002,27484.1545,7669.9895,11535.7504,17799.2015
2050-08-02 09:00:00,1770.5048,1686.62945,786.2826200000002,29898.7438,8343.8336,12549.2151,19362.9402
2050-08-02 10:00:00,1904.53397,1814.31002,845.8042800000003,32162.1169,8975.4576,13499.1879,20828.7157
2050-08-02 11:00:00,2027.35318,1931.31022,900.3475199999998,34236.1601,9554.2746,14369.7287,22171.916
2050-08-02 12:00:00,2144.07522,2042.50339,952.18398,36207.2802,10104.3472,15197.0572,23448.446
2050-08-02 13:00:00,2234.93808,2129.06167,992.5369,37741.6987,10532.5465,15841.0899,24442.1417
2050-08-02 14:00:00,2290.3849800000007,2181.88104,1017.16174,38678.0143,10793.8525,16234.0834,25048.5344
2050-08-02 15:00:00,2313.87095,2204.2563800000007,1027.59095,39074.6356,10904.5286,16400.5474,25305.3859
2050-08-02 16:00:00,2302.757060000001,2193.66777,1022.65399,38886.9595,10852.1636,16321.7878,25183.8481
2050-08-02 17:00:00,2257.0000600000008,2150.07875,1002.334541,38114.2235,10636.52493,15997.4531,24683.4258
2050-08-02 18:00:00,2169.41603,2066.64284,963.43858,36635.2268,10223.77215,15376.65875,23725.5765
2050-08-02 19:00:00,2094.1136300000007,1994.90885,929.998149,35363.598,9868.88938,14842.93685,22902.034
2050-08-02 20:00:00,2009.823715,1914.611169,892.5638220000002,33940.1341,9471.66154,14245.48205,21980.195209999998
2050-08-02 21:00:00,1855.329159,1767.43558,823.952665,31331.1782,8743.57235,13150.43743,20290.59553
2050-08-02 22:00:00,1699.839248,1619.3119140000001,754.898371,28705.3885,8010.80635,12048.33694,18590.08487
2050-08-02 23:00:00,1560.959439,1487.0111029999996,693.223411,26360.12654,7356.301559999999,11063.97117,17071.24802
2050-08-03 00:00:00,1462.12311,1392.856551,649.32921,24691.04618,6890.51479,10363.42051,15990.324530000002
2050-08-03 01:00:00,1386.92859,1321.225449,615.935168,23421.24675,6536.16167,9830.45569,15167.9841
2050-08-03 02:00:00,1337.9569789999996,1274.574382,594.1877099999998,22594.257,6305.35812,9483.34757,14632.417980000002
2050-08-03 03:00:00,1319.815857,1257.290071,586.130696,22287.8914,6219.867670000001,9354.75008,14434.009719999998
2050-08-03 04:00:00,1347.138183,1283.3193669999996,598.264152,22749.2948,6348.62985,9548.42695,14732.81874
2050-08-03 05:00:00,1398.96027,1332.686659,621.278084,23624.4256,6592.84876,9915.73742,15299.5728
2050-08-03 06:00:00,1421.69629,1354.34679,631.3758799999998,24008.3825,6699.9983,10076.8885,15548.2249
2050-08-03 07:00:00,1503.97027,1432.72188,667.91362,25397.7133,7087.7393,10660.0393,16447.9956
2050-08-03 08:00:00,1621.61446,1544.79427,720.15994,27384.4152,7642.1579,11493.893999999998,17734.6197
2050-08-03 09:00:00,1757.77608,1674.5047,780.62906,29683.7849,8283.8369,12458.9907,19223.7098
2050-08-03 10:00:00,1891.72796,1802.11013,840.1164699999997,31945.8662,8915.116,13408.4418,20688.6652
2050-08-03 11:00:00,2015.65352,1920.16623,895.15399,34038.61,9499.1402,14286.816,22043.9731
2050-08-03 12:00:00,2131.41442,2030.44366,946.56203,35993.4668,10044.6701,15107.3164,23309.9824
2050-08-03 13:00:00,2220.92354,2115.71184,986.31291,37505.043,10466.5165,15741.7443,24288.8809
2050-08-03 14:00:00,2271.68678,2164.06844,1008.85704,38362.2554,10705.745,16101.5444,24844.0255
2050-08-03 15:00:00,2289.16875,2180.72525,1016.62192,38657.5031,10788.1312,16225.4757,25035.2396
2050-08-03 16:00:00,2275.22329,2167.4384600000008,1010.42802,38421.9813,10722.3912,16126.6312,24882.7331
2050-08-03 17:00:00,2220.27733,2115.09667,986.026726,37494.1692,10463.47366,15737.1801,24281.816000000006
2050-08-03 18:00:00,2129.84175,2028.94494,945.864516,35966.8901,10037.26597,15096.16824,23292.7685
2050-08-03 19:00:00,2052.56645,1955.33119,911.545271,34661.9637,9673.10304,14548.45399,22447.6549
2050-08-03 20:00:00,1973.880708,1880.373584,876.601339,33333.1754,9302.28049,13990.740630000002,21587.13107
2050-08-03 21:00:00,1830.782222,1744.052127,813.051247,30916.6651,8627.89,12976.45848,20022.15254
2050-08-03 22:00:00,1688.7807289999996,1608.777808,749.989223,28518.659,7958.69117,11969.95307,18469.16254
2050-08-03 23:00:00,1552.103782,1478.576024,689.289894,26210.57537,7314.56577,11001.19937,16974.40364
2050-08-27 00:00:00,1279.195045,1218.595294,568.089742,21601.9262,6028.44234,9066.84989,13989.78033
2050-08-27 01:00:00,1222.744324,1164.819486,543.021384,20648.6475,5762.41329,8666.73228,13372.414359999999
2050-08-27 02:00:00,1185.248919,1129.100608,526.3710580000002,20015.4749,5585.70957,8400.95823,12962.34047
2050-08-27 03:00:00,1157.050631,1102.238578,513.8467029999998,19539.2826,5452.8134,8201.0986,12653.96206
2050-08-27 04:00:00,1154.682474,1099.981717,512.7949169999998,19499.26742,5441.66418,8184.301809999999,12628.05321
2050-08-27 05:00:00,1167.8707,1112.545228,518.6513190000002,19721.9736,5503.79578,8277.7949,12772.2848
2050-08-27 06:00:00,1166.15153,1110.90578,517.888289,19692.9411,5495.70535,8265.6003,12753.4783
2050-08-27 07:00:00,1243.75021,1184.82908,552.34971,21003.363,5861.4029,8815.6206,13602.1321
2050-08-27 08:00:00,1360.20243,1295.76389,604.06602,22969.917999999998,6410.2005,9641.025,14875.7094
2050-08-27 09:00:00,1480.85855,1410.7059800000004,657.64986,25007.4334,6978.8068,10496.2309,16195.2392
2050-08-27 10:00:00,1596.6786499999994,1521.0372,709.08563,26963.2905,7524.6248,11317.1376,17461.8806
2050-08-27 11:00:00,1680.66633,1601.04688,746.38488,28381.604,7920.4389,11912.4441,18380.411
2050-08-27 12:00:00,1740.34058,1657.89405,772.88551,29389.3438,8201.6694,12335.4073,19033.0284
2050-08-27 13:00:00,1778.47744,1694.2245,789.8213,30033.3791,8381.4047,12605.7283,19450.1099
2050-08-27 14:00:00,1810.74307,1724.96274,804.15224,30578.2542,8533.457,12834.4129,19802.9825
2050-08-27 15:00:00,1827.25364,1740.69171,811.48347,30857.0559,8611.2592,12951.4441,19983.5391
2050-08-27 16:00:00,1816.30169,1730.25673,806.62162,30672.1228,8559.6505,12873.8131,19863.787
2050-08-27 17:00:00,1766.91062,1683.206898,784.6862169999998,29838.048,8326.8906,12523.7511,19323.6198
2050-08-27 18:00:00,1710.0599789999999,1629.047842,759.438004,28877.9899,8058.963259999998,12120.77096,18701.8713
2050-08-27 19:00:00,1704.083028,1623.35549,756.7828519999998,28777.0687,8030.802,12078.43345,18636.50719
2050-08-27 20:00:00,1629.308241,1552.1221369999996,723.576871,27514.321,7678.39937,11548.41995,17818.739439999998
2050-08-27 21:00:00,1500.831618,1429.730178,666.519134,25344.7066,7072.9391700000015,10637.78889,16413.662949999998
2050-08-27 22:00:00,1367.252791,1302.481799,607.1967549999998,23088.9581,6443.43193,9690.98582,14952.79538
2050-08-27 23:00:00,1258.089378,1198.489927,558.717986,21245.5263,5928.975979999998,8917.25925,13758.95174
