,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
167,Roscoe Wind Farm LLC,56593_G_RO1,56593,G,RO1,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,209.0,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56593.0,32.4694,-100.6664,,,,,,,,,0.0,0.0,POINT (-100.6664 32.4694),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,209.0,21.33677189862161,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56593+RO1
168,Snyder Wind Farm,56602_G_SNY1,56602,G,SNY1,,Onshore Wind,,ERC_WEST,Texas,48,Scurry,415,48415,63.0,0.0,2007.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56602.0,32.739294,-100.738949,,,,,,,,,0.0,0.0,POINT (-100.738949 32.739294),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,63.0,6.431658514895509,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56602+SNY1
169,McAdoo Wind Energy LLC,56773_G_1,56773,G,1,,Onshore Wind,,ERC_PHDL,Texas,48,Dickens,125,48125,150.0,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56773.0,33.752201,-100.967402,,,,,,,,,0.0,0.0,POINT (-100.967402 33.752201),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,150.0,15.313472654513117,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56773+1
170,Turkey Track Wind  Energy LLC,56774_G_1,56774,G,1,,Onshore Wind,,ERC_WEST,Texas,48,Nolan,353,48353,169.5,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56774.0,32.1981,-100.2686,,,,,,,,,0.0,0.0,POINT (-100.2686 32.1981),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,169.5,17.30422409959982,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56774+1
171,Scurry County Wind II,56775_G_1,56775,G,1,,Onshore Wind,,ERC_WEST,Texas,48,Scurry,415,48415,120.0,0.0,2007.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56775.0,32.718056,-100.793333,,,,,,,,,0.0,0.0,POINT (-100.793333 32.718056),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,120.0,12.250778123610493,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56775+1
172,Gunsight Mountain Wind Energy LLC,56776_G_1,56776,G,1,,Onshore Wind,,ERC_WEST,Texas,48,Howard,227,48227,120.0,0.0,2016.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56776.0,32.240278,-101.473611,,,,,,,,,0.0,0.0,POINT (-101.473611 32.240278),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,120.0,12.250778123610493,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56776+1
173,Elbow Creek Wind Project LLC,56783_G_1,56783,G,1,,Onshore Wind,,ERC_WEST,Texas,48,Howard,227,48227,121.9,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56783.0,32.1408,-101.3986,,,,,,,,,0.0,0.0,POINT (-101.3986 32.1408),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,121.9,12.444748777234325,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56783+1
174,EC&R Panther Creek Wind Farm I,56920_G_1,56920,G,1,,Onshore Wind,,ERC_WEST,Texas,48,Howard,227,48227,142.5,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56920.0,32.100823,-101.451385,,,,,,,,,0.0,0.0,POINT (-101.451385 32.100823),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,142.5,14.54779902178746,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56920+1
175,Bull Creek Wind,56956_G_001,56956,G,001,,Onshore Wind,,ERC_WEST,Texas,48,Borden,33,48033,180.0,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56956.0,32.929014,-101.578617,,,,,,,,,0.0,0.0,POINT (-101.578617 32.929014),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,180.0,18.376167185415742,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56956+001
176,Ocotillo Windpower,56959_G_OWF,56959,G,OWF,,Onshore Wind,,ERC_WEST,Texas,48,Howard,227,48227,58.8,0.0,2008.0,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56959.0,32.1217,-101.3853,,,,,,,,,0.0,0.0,POINT (-101.3853 32.1217),59,60,60,14.0530094329,5.34604098118,p60,rto10,p60,Wind,,0.0,58.8,6.002881280569142,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,False,False,False,False,56959+OWF
