lat,lon,solar_cf,wind_cf
26.5,-115.625,0.20999049,0.27209207
26.5,-115,0.21020743,0.27601647
26.5,-114.375,0.21057883,0.28196254
26.5,-113.75,0.21241729,0.28819796
26.5,-113.125,0.21495101,0.30183408
26.5,-112.5,0.2165609,0.31290135
26.5,-111.875,0.21758996,0.31681913
26.5,-111.25,0.21678308,0.284327
26.5,-110.625,0.21449377,0.20553656
26.5,-110,0.20921144,0.12334662
26.5,-109.375,0.20255001,0.094677694
26.5,-108.75,0.2018843,0.14235047
26.5,-108.125,0.19768447,0.15358497
26.5,-107.5,0.19576006,0.14596236
26.5,-106.875,0.19340093,0.11012132
26.5,-106.25,0.19172671,0.07040631
26.5,-105.625,0.19342758,0.04195031
26.5,-105,0.19519219,0.023992233
26.5,-104.375,0.20259497,0.056311417
26.5,-103.75,0.20910265,0.115923956
26.5,-103.125,0.21058689,0.14425777
26.5,-102.5,0.20995046,0.15552533
26.5,-101.875,0.20971623,0.1457972
26.5,-101.25,0.20914845,0.1262126
26.5,-100.625,0.20852886,0.11841294
26.5,-100,0.2081764,0.12488409
26.5,-99.375,0.20645277,0.10499222
26.5,-98.75,0.20307194,0.131968
26.5,-98.125,0.19969359,0.13596736
26.5,-97.5,0.19718656,0.21508045
26.5,-96.875,0.19530353,0.3286359
26.5,-96.25,0.19272178,0.3427833
26.5,-95.625,0.18825647,0.3317524
26.5,-95,0.18399468,0.3538339
26.5,-94.375,0.1784444,0.39100662
26.5,-93.75,0.17496915,0.3535619
26.5,-93.125,0.17423946,0.3271402
26.5,-92.5,0.17484991,0.31115004
26.5,-91.875,0.17590454,0.30099216
26.5,-91.25,0.1769661,0.2928992
26.5,-90.625,0.1771447,0.28581432
26.5,-90,0.17685796,0.27782232
26.5,-89.375,0.17735456,0.27066275
26.5,-88.75,0.17759123,0.26649642
26.5,-88.125,0.17768748,0.26467803
26.5,-87.5,0.17802753,0.26238233
26.5,-86.875,0.17789854,0.26032034
26.5,-86.25,0.17726898,0.26208758
26.5,-85.625,0.1772288,0.26543498
26.5,-85,0.17624086,0.26668862
26.5,-84.375,0.17572317,0.26845342
26.5,-83.75,0.17524013,0.26740816
26.5,-83.125,0.17468916,0.26445994
26.5,-82.5,0.17496127,0.25725937
26.5,-81.875,0.173911,0.24322395
26.5,-81.25,0.17260367,0.22357652
26.5,-80.625,0.17202903,0.2057154
26.5,-80,0.17217764,0.1916985
