gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg,total_demand_kg,total_supply_kg
2889,Reference,39.47915827,-87.35342652,0,80983992.01,0,0,19980289.84,0,0,94379356.22,0,0,0,0,0,195343638.1,0
2890,Reference,39.48251861,-75.02780046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891,Reference,39.48888814,-76.95900627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892,Reference,39.49938304,-121.5423692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2893,Reference,39.51115924,-76.30331767,0,35679285.34,0,0,0,0,0,0,0,0,0,0,0,35679285.34,0
2894,Reference,39.52540532,-84.3555768,0,14012199.93,0,0,0,0,0,0,0,0,0,0,2586817.86,14012199.93,2586817.86
2895,Reference,39.53239408,-119.7972653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896,Reference,39.55226592,-77.84225273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2897,Reference,39.59350915,-116.7788677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898,Reference,39.63996319,-79.92776353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899,Reference,39.64851205,-78.80570393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,Reference,39.71006547,-104.9503094,0,67668611.42,0,0,0,0,0,42567015.76,0,0,0,0,67257264.35,110235627.2,67257264.35
2901,Reference,39.72560692,-82.59684763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2902,Reference,39.75065115,-121.8444552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,Reference,39.75549259,-84.1688282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2904,Reference,39.75680177,-94.8306913,0,235826197.6,0,0,9450137.271,0,0,0,0,0,0,0,6208362.863,245276334.9,6208362.863
2905,Reference,39.77499785,-121.6029511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,Reference,39.7854341,-89.64277076,0,43461141.38,0,0,0,0,0,0,0,0,0,0,2431608.788,43461141.38,2431608.788
2907,Reference,39.81072634,-86.14564358,0,0,0,0,14850215.12,0,0,0,0,0,0,0,0,14850215.12,0
2908,Reference,39.8173497,-77.03710611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2909,Reference,39.83162441,-84.88927064,0,0,0,0,29700430.24,0,0,0,0,0,0,0,0,29700430.24,0
2910,Reference,39.8450964,-88.935121,0,43461141.38,0,0,50625733.8,0,0,0,0,0,0,0,5587526.577,94086875.18,5587526.577
2911,Reference,39.93045,-79.6836566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2912,Reference,39.93401385,-77.64343014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2913,Reference,39.93610769,-91.37748154,0,43461141.38,0,0,4860070.547,0,0,0,0,0,0,0,2483345.145,48321211.93,2483345.145
2914,Reference,39.93770523,-83.81225884,0,14012199.93,0,0,0,0,0,0,0,0,0,0,3880226.79,14012199.93,3880226.79
2915,Reference,39.95397071,-82.01463461,0,0,0,0,6750098.001,0,0,0,0,0,0,0,0,6750098.001,0
2916,Reference,39.95708188,-76.71629786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2917,Reference,39.97364428,-75.29727721,0,42499339,0,0,0,0,0,308947933.4,0,0,0,0,24264351.52,351447272.4,24264351.52
2918,Reference,39.99217696,-105.1032828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2919,Reference,40.02129778,-82.96922957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2920,Reference,40.02813216,-74.56216663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,Reference,40.03016401,-105.2377919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,Reference,40.03967627,-82.44734408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2923,Reference,40.05406616,-80.72748376,0,14836518.83,0,0,0,0,0,0,0,0,0,0,1293408.93,14836518.83,1293408.93
2924,Reference,40.08975887,-85.67970521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2925,Reference,40.09949081,-76.31242048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2926,Reference,40.09960167,-88.24876806,0,86922282.77,0,0,14850215.12,0,0,0,0,0,0,0,0,101772497.9,0
2927,Reference,40.11843442,-87.63269034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2928,Reference,40.13913174,-79.88372655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2929,Reference,40.17079394,-105.0999155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2930,Reference,40.19778649,-85.40441217,0,0,0,0,18630270.03,0,0,0,0,0,0,0,0,18630270.03,0
2931,Reference,40.22725545,-74.71922717,0,2879780.868,0,0,0,0,0,0,0,0,0,0,1655563.43,2879780.868,1655563.43
2932,Reference,40.24666218,-76.8685722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2933,Reference,40.26782176,-75.6472847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2934,Reference,40.27589537,-111.7295092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2935,Reference,40.28642924,-74.57995103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2936,Reference,40.3008146,-78.89222086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2937,Reference,40.34918156,-76.40483895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2938,Reference,40.36311189,-75.9493692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2939,Reference,40.37673,-80.61897797,0,14012199.93,0,0,0,0,0,0,0,0,0,0,2793763.288,14012199.93,2793763.288
2940,Reference,40.397779,-95.658046,0,0,0,0,13635197.57,0,0,0,0,0,0,0,0,13635197.57,0
2941,Reference,40.40571082,-104.7333626,0,0,0,0,10800156.39,0,0,0,0,0,0,0,0,10800156.39,0
2942,Reference,40.42698936,-86.88536657,0,40491996.01,0,0,20250293.31,0,0,0,0,0,0,0,54530120.48,60742289.32,54530120.48
2943,Reference,40.45740886,-79.95063362,0,21249669.5,0,0,0,0,0,0,0,0,0,0,1655563.43,21249669.5,1655563.43
2944,Reference,40.46601918,-86.14401175,0,0,0,0,14850215.12,0,0,0,0,0,0,0,0,14850215.12,0
2945,Reference,40.48586982,-78.39236418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2946,Reference,40.49266207,-81.44526386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947,Reference,40.49343745,-88.97887959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2948,Reference,40.49876005,-105.058524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2949,Reference,40.50380694,-110.3338202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,Reference,40.53926945,-112.2994268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2951,Reference,40.54391391,-85.66185015,0,0,0,0,6750098.001,0,0,0,0,0,0,0,0,6750098.001,0
2952,Reference,40.57563028,-122.3613723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2953,Reference,40.58011168,-83.11366575,0,0,0,0,9180133.102,0,0,0,0,0,0,0,0,9180133.102,0
