,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
421,Pyron Wind Farm LLC,56981_G_PYRBT,56981,G,PYRBT,,Batteries,,ERC_WEST,Texas,48.0,Fisher,151.0,48151.0,9.9,0.0,2017.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,56981.0,32.5886,-100.6728,56981.0,9.9,9.9,9.9,Batteries,0.81,0.0,0.0,0.0,POINT (-100.6728 32.5886),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,p60,0.0,9.9,0.0,9.9,0.0,0.0,0.0,0.0,0,0.0,1,1,0,False,False,False,56981+PYRBT,,,,,,,,,,,,
423,Inadale Wind Farm LLC,56984_G_INABT,56984,G,INABT,,Batteries,,ERC_WEST,Texas,48.0,Nolan,353.0,48353.0,9.9,0.0,2017.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,56984.0,32.4969,-100.5797,56984.0,9.9,9.9,9.9,Batteries,0.81,0.0,0.0,0.0,POINT (-100.5797 32.4969),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,p60,0.0,9.9,0.0,9.9,0.0,0.0,0.0,0.0,0,0.0,1,1,0,False,False,False,56984+INABT,,,,,,,,,,,,
443,"Blue Summit Storage, LLC",60690_G_WBSS,60690,G,WBSS,,Batteries,,ERC_WEST,Texas,48.0,Wilbarger,487.0,48487.0,30.0,0.0,2017.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,60690.0,34.299,-99.399,60690.0,12.6,30,30,Batteries,0.81,0.0,0.0,0.0,POINT (-99.399 34.299),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,p60,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,1,1,0,False,False,False,60690+WBSS,,,,,,,,,,,,
446,NRG Elbow Creek Energy Storage Project,61362_G_ECBS,61362,G,ECBS,,Batteries,,ERC_WEST,Texas,48.0,Howard,227.0,48227.0,2.0,0.0,2017.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,61362.0,32.167575,-101.479217,61362.0,0.7,2,2,Batteries,0.81,0.0,0.0,0.0,POINT (-101.479217 32.167575),59.0,60.0,60.0,14.0530094329,5.34604098118,p60,rto10,p60,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,1,1,0,False,False,False,61362+ECBS,,,,,,,,,,,,
448,Odessa Ector Generating Station,55215_G_CTG1,55215,G,CTG1,4149.0,Combined Cycle,,ERC_WEST,Texas,48.0,Ector,135.0,48135.0,148.9,7428.0,2001.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03202,0.03202,0.03202,0.03202,,,,,,,,,,,,Natural Gas,55215.0,31.8403,-102.3264,,,,,,,,3.6509190329230177,117.0,POINT (-102.3264 31.8403),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,p62,4.0,47.3502,15201.173855046687,59.56,0.0,13170.0,3.5999999999999996,30.719026576552174,1,0.0,1,1,0,False,False,False,55215+CTG1,,,,,,,,,,,,
449,Odessa Ector Generating Station,55215_G_CTG2,55215,G,CTG2,4150.0,Combined Cycle,,ERC_WEST,Texas,48.0,Ector,135.0,48135.0,135.2,7428.0,2001.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03202,0.03202,0.03202,0.03202,,,,,,,,,,,,Natural Gas,55215.0,31.8403,-102.3264,,,,,,,,3.6509190329230177,117.0,POINT (-102.3264 31.8403),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,p62,4.0,42.993599999999994,13802.543352601153,54.08,0.0,13170.0,3.5999999999999996,30.719026576552174,1,0.0,1,1,0,False,False,False,55215+CTG2,,,,,,,,,,,,
450,Odessa Ector Generating Station,55215_G_CTG3,55215,G,CTG3,4151.0,Combined Cycle,,ERC_WEST,Texas,48.0,Ector,135.0,48135.0,136.7,7428.0,2001.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03174,0.03174,0.03174,0.03174,,,,,,,,,,,,Natural Gas,55215.0,31.8403,-102.3264,,,,,,,,3.6509190329230177,117.0,POINT (-102.3264 31.8403),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,p62,4.0,43.4706,13955.678079146284,54.68,0.0,13170.0,3.5999999999999996,30.719026576552174,1,0.0,1,1,0,False,False,False,55215+CTG3,,,,,,,,,,,,
451,Odessa Ector Generating Station,55215_G_CTG4,55215,G,CTG4,4152.0,Combined Cycle,,ERC_WEST,Texas,48.0,Ector,135.0,48135.0,142.8,7428.0,2001.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03174,0.03174,0.03174,0.03174,,,,,,,,,,,,Natural Gas,55215.0,31.8403,-102.3264,,,,,,,,3.6509190329230177,117.0,POINT (-102.3264 31.8403),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,p62,4.0,45.4104,14578.42596709649,57.120000000000005,0.0,13170.0,3.5999999999999996,30.719026576552174,1,0.0,1,1,0,False,False,False,55215+CTG4,,,,,,,,,,,,
452,Odessa Ector Generating Station,55215_G_STG1,55215,G,STG1,,Combined Cycle,,ERC_WEST,Texas,48.0,Ector,135.0,48135.0,208.9,7428.0,2001.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03202,0.03202,0.03202,0.03202,,,,,,,,,,,,Natural Gas,55215.0,31.8403,-102.3264,,,,,,,,3.6509190329230177,117.0,POINT (-102.3264 31.8403),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,p62,4.0,66.4302,21326.562916851934,83.56,0.0,13170.0,3.5999999999999996,30.719026576552174,1,0.0,1,1,0,False,False,False,55215+STG1,,,,,,,,,,,,
453,Odessa Ector Generating Station,55215_G_STG2,55215,G,STG2,,Combined Cycle,,ERC_WEST,Texas,48.0,Ector,135.0,48135.0,211.5,7428.0,2001.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03174,0.03174,0.03174,0.03174,,,,,,,,,,,,Natural Gas,55215.0,31.8403,-102.3264,,,,,,,,3.6509190329230177,117.0,POINT (-102.3264 31.8403),61.0,62.0,62.0,9.19136542403,2.63378546811,p62,rto10,p62,4.0,67.257,21591.996442863496,84.60000000000001,0.0,13170.0,3.5999999999999996,30.719026576552174,1,0.0,1,1,0,False,False,False,55215+STG2,,,,,,,,,,,,
