hour,EFS2020,EFS2030,EFS2040,EFS2050
149,31637.57,34881.531,38387.363,42350.352
150,32784.039,36146.363,39780.734,43888.523
151,34628.184,38181.133,42022.59,46363.723
152,36219.957,39937.594,43957.5,48498.891
153,37750.445,41626.844,45820.219,50557.219
154,39164.754,43188.492,47543.066,52461.227
155,39749.09,43834.547,48257,53250.664
156,39696.262,43777.449,48196.117,53185.047
157,39268.82,43306.699,47679.156,52615.613
158,38619.461,42590.395,46890.793,51746.301
159,38183.527,42109.66,46362.352,51164.285
160,37982.066,41887.516,46118.156,50895.188
161,37961.215,41863.613,46091.203,50865.668
162,39103.781,43123.418,47478.871,52399.141
163,41248.711,45489.563,50084.25,55274.121
164,41094.645,45319.75,49896.359,55065.332
165,40396.738,44549.656,49046.863,54125.859
166,39297.895,43337.363,47710.816,52650.199
167,37737.188,41615.215,45812.508,50552.875
168,35919.773,39609.691,43601.984,48110.914
169,34257.457,37775.684,41580.559,45877.625
170,33251.66,36666.066,40357.359,44525.852
171,32724.916,36084.539,39715.77,43816.578
172,32618.029,35966.371,39584.945,43671.355
173,32853.855,36226.699,39871.715,43987.594
174,33657.289,37112.969,40848.148,45065.852
175,35012.852,38608.688,42496.148,46885.414
176,36319.52,40050.313,44083.508,48636.449
177,37615.559,41479.879,45658.645,50376.051
178,38816.801,42805.648,47120.551,51991.285
179,39114.914,43135.371,47486.012,52397.238
180,39062.883,43078.449,47424.875,52331.563
181,39108.285,43128.535,47480.828,52394.227
182,38902.48,42901.387,47231.43,52120.313
183,38568.063,42532.301,46825.68,51674.184
184,38535.887,42496.68,46786.898,51632.535
185,38916.945,42916.586,47249.734,52145.105
186,40892.258,45095.398,49650.227,54796.938
187,43187.293,47627.402,52438.629,57873.875
188,43169.871,47608.336,52417.223,57849.59
189,42383.059,46739.855,51459.285,56790.926
190,40753.281,44941.789,49477.297,54600.898
191,38352.758,42293.445,46558.801,51376.973
192,35663.836,39326.629,43288.922,47764.953
193,33818.926,37290.789,41044.547,45285.09
194,32950.594,36332.27,39987.453,44116.859
195,32737.057,36096.875,39727.781,43829.211
196,32936.555,36316.992,39970.012,44096.293
197,34083.605,37582.605,41364.473,45635.961
198,37120.82,40933.723,45057.414,49714.449
199,42079.492,46405.441,51087.16,56373.195
200,44255.648,48806.324,53731.117,59290.883
201,44184.594,48728.184,53645.633,59197.254
202,44768.742,49373.344,54358.223,59985.762
203,45385.902,50055.34,55111.656,60819.367
204,45800.91,50514.223,55618.777,61379.988
205,45808.754,50523.797,55630.813,61394.172
206,45816.305,50532.426,55641.246,61406.539
207,45409.566,50084.008,55148.027,60862.637
208,45027.449,49661.848,54681.859,60346.75
209,45403.188,50075.496,55136.844,60849.02
210,47260.121,52123.887,57394.684,63344.457
211,49211.703,54277.039,59766.672,65963.719
212,48676.641,53687.043,59116.613,65245.723
213,47602.918,52502.586,57811.387,63804.203
214,45613.898,50307.816,55391.988,61131.078
215,42504.57,46876.793,51610.449,56953.926
216,39648.379,43725.246,48137.359,53117.859
217,37693.75,41568.742,45761.176,50493.898
218,36739.191,40515.574,44600.176,49210.797
219,36502.773,40254.711,44312.371,48892.465
220,36724.324,40499.199,44581.844,49190.023
221,38020.359,41929.602,46158.742,50931.746
