,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory,Max Zonal Cap,Variable Weight
71,Hal C Weaver Power Plant,50118_G_GEN8,50118,G,GEN8,,Combined Cycle,,ERC_REST,Texas,48.0,Travis,453.0,48453.0,46.5,7130.0,1987.0,9999.0,,,Y,Natural Gas,,,,,SCR,,,,,,,,,0.04937,0.04937,0.04937,0.04937,,,,,,,,,,,,Natural Gas,50118.0,30.2867,-97.7356,,,,,,,,,3.6509190329230177,117.0,POINT (-97.73560000000001 30.2867),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Combined Cycle,"(7049.999, 7130.0]",4.0,29.7135,4747.176522899066,18.6,0.0,13170.0,3.5999999999999996,29.631052704741116,1,0.0,1,1,0,True,False,2045,50118+GEN8,,,,,,,,,,,,,,
72,Robert Mueller Energy Center,56374_G_DG1,56374,G,DG1,,Combustion Turbine,IC Engine,ERC_REST,Texas,48.0,Travis,453.0,48453.0,1.5,10745.0,2006.0,9999.0,,,N,Distillate Fuel Oil,,,,,,,,,,,,,3.0,1.77612,1.77612,1.77612,1.77612,,,,,,,,,,,,Distillate Fuel Oil,56374.0,30.304994,-97.707675,,,,,,,,,21.1354569724279,160.1,POINT (-97.70767499999999 30.304994),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Distillate Fuel Oil,,1.0,0.513,38.28368163628279,0.375,0.0,7340.0,15.45,242.55048516873777,0,0.0,1,1,0,True,False,2040,56374+DG1,,,,,,,,,,,,,,
75,Central Utility Plant - Texas A&M,58151_G_STG04,58151,G,STG04,,Combined Cycle,,ERC_REST,Texas,48.0,Brazos,41.0,48041.0,5.0,7780.0,1956.0,9999.0,,,Y,"Natural Gas, Distillate Fuel Oil",,,,NH3,SCR,2011.0,,,,,,,,0.03057,0.03057,0.03057,0.03057,,,,,,,,,,,,Natural Gas,58151.0,30.617778,-96.343333,,,,,,,,,3.6509190329230177,117.0,POINT (-96.343333 30.617778),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Combined Cycle,"(7720.0, 8200.0]",4.0,3.1950000000000003,510.44908848377054,2.0,0.0,13170.0,3.5999999999999996,32.00415007614108,1,0.0,1,1,0,True,False,2025,58151+STG04,,,,,,,,,,,,,,
76,Rabbit Hill Energy Storage Project,60649_G_1,60649,G,1,,Energy Storage,,ERC_REST,Texas,48.0,Williamson,491.0,48491.0,9.9,0.0,2017.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,60649.0,30.587828,-97.687023,,,39.6,9.9,9.9,,0.81,0.0,0.0,0.0,POINT (-97.687023 30.587828),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Energy Storage,,0.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,True,False,2035,60649+1,,,,,,,,,,,,,,
78,Fayette Power Project,6179_B_1,6179,B,1,2827.0,Coal Steam,,ERC_REST,Texas,48.0,Fayette,149.0,48149.0,590.0,10594.0,1979.0,9999.0,tangential,dry,N,Subbituminous,Wet Scrubber,2011.0,0.97,LNC3,,,,ESPC,No,ACI,2016.0,,1.2,0.106,0.106,0.106,0.106,0.1,0.1,0.1,0.99,,,,,,,,Subbituminous,6179.0,29.9172,-96.7506,,,,,,,,,1.751942379046926,214.3,POINT (-96.75060000000001 29.9172),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Subbituminous,"(10592.5, 10594.0]",12.0,105.61,60232.99244108493,236.0,0.0,37800.0,4.47,23.030077563623134,1,0.0,1,1,0,True,2030,False,6179+1,,,,,,,,,,,,,,
79,Fayette Power Project,6179_B_2,6179,B,2,2828.0,Coal Steam,,ERC_REST,Texas,48.0,Fayette,149.0,48149.0,590.0,10591.0,1980.0,9999.0,tangential,dry,N,Subbituminous,Wet Scrubber,2011.0,0.97,LNC3,,,,ESPC,No,ACI,2016.0,,1.2,0.11798,0.11798,0.11798,0.11798,0.1,0.1,0.1,0.99,,,,,,,,Subbituminous,6179.0,29.9172,-96.7506,,,,,,,,,1.751942379046926,214.3,POINT (-96.75060000000001 29.9172),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Subbituminous,"(10590.999, 10592.5]",12.0,105.61,60232.99244108493,236.0,0.0,37800.0,4.47,23.02482173648599,1,0.0,1,1,0,True,2030,False,6179+2,,,,,,,,,,,,,,
80,Fayette Power Project,6179_B_3,6179,B,3,2829.0,Coal Steam,,ERC_REST,Texas,48.0,Fayette,149.0,48149.0,435.0,10631.0,1988.0,9999.0,tangential,dry,N,Subbituminous,Wet Scrubber,1988.0,0.9,LNC3,,,,ESPC,No,ACI,2016.0,,0.6,0.12284,0.12284,0.12284,0.12284,0.1,0.1,0.1,0.99,,,,,,,,Subbituminous,6179.0,29.9172,-96.7506,,,,,,,,,1.751942379046926,214.3,POINT (-96.75060000000001 29.9172),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Subbituminous,"(10612.5, 10631.0]",12.0,77.865,44409.070698088035,174.0,0.0,37800.0,4.47,23.09489943164787,1,0.0,1,1,0,True,2030,False,6179+3,,,,,,,,,,,,,,
81,Dansby,6243_B_1,6243,B,1,2860.0,O/G Steam,,ERC_REST,Texas,48.0,Brazos,41.0,48041.0,110.0,14500.0,1978.0,9999.0,wall,dry,N,Natural Gas,,,,LNB + OFA,,,,,,,,,0.2,0.089,0.089,0.089,0.089,,,,,,,,,,,,Natural Gas,6243.0,30.7217,-96.4608,,,,,,,,,3.6509190329230177,117.0,POINT (-96.46080000000001 30.7217),63.0,64.0,64.0,17.6037588908,6.78793955885,p64,rto10,p64,Natural Gas,"(11699.0, 19028.0]",7.0,25.41,11229.879946642952,44.0,0.0,37800.0,4.47,57.408325977383754,1,0.0,1,1,0,True,False,2035,6243+1,,,,,,,,,,,,,,
82,W A Parish,3470_B_WAP5,3470,B,WAP5,2378.0,Coal Steam,,ERC_REST,Texas,48.0,Fort Bend,157.0,48157.0,659.0,10556.0,1977.0,9999.0,wall,dry,N,Subbituminous,,,,LNB + OFA,SCR,2003.0,,B,,ACI,2015.0,,1.2,0.05513,0.05513,0.05513,0.05513,0.1,0.1,0.1,,,,,,,,,Subbituminous,3470.0,29.4828,-95.6311,,,,,,,,,1.751942379046926,214.3,POINT (-95.6311 29.4828),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,p67,Subbituminous,"(10538.75, 10556.0]",12.0,117.961,67277.18986216096,263.6,0.0,37800.0,4.47,22.96350375321935,1,0.0,1,1,0,True,2030,False,3470+WAP5,,,,,,,,,,,,,,
83,W A Parish,3470_B_WAP6,3470,B,WAP6,2379.0,Coal Steam,,ERC_REST,Texas,48.0,Fort Bend,157.0,48157.0,653.0,10529.0,1978.0,9999.0,wall,dry,N,Subbituminous,,,,LNB + OFA,SCR,2003.0,,B,,ACI,2015.0,,1.2,0.08011,0.08011,0.08011,0.08011,0.1,0.1,0.1,,,,,,,,,Subbituminous,3470.0,29.4828,-95.6311,,,,,,,,,1.751942379046926,214.3,POINT (-95.6311 29.4828),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,p67,Subbituminous,"(10517.5, 10531.0]",12.0,116.887,66664.65095598044,261.2,0.0,37800.0,4.47,22.916201308985084,1,0.0,1,1,0,True,2030,False,3470+WAP6,,,,,,,,,,,,,,
