,p61,p62,p60,p63,p64,p65,p67
2050-02-22 17:00:00,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-22 18:00:00,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-22 19:00:00,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-22 20:00:00,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-22 21:00:00,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-22 22:00:00,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845538,49.44664195845538
2050-02-22 23:00:00,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-23 00:00:00,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-23 01:00:00,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-23 02:00:00,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739
2050-02-23 03:00:00,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739
2050-02-23 04:00:00,48.534146521857835,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739
2050-02-23 05:00:00,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-23 06:00:00,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-23 07:00:00,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-23 08:00:00,23.781731795710115,23.781731795710115,23.781731795710115,5e-324,5e-324,8.99829489682817,8.99829489682817
2050-02-23 09:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-23 10:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-23 11:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-02-23 12:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-02-23 13:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-02-23 14:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-02-23 15:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,0.0,5e-324
2050-02-23 16:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-23 17:00:00,23.781731795710115,23.781731795710115,23.781731795710115,5e-324,30.45759236431908,49.44664195845537,49.44664195845537
2050-02-23 18:00:00,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-23 19:00:00,48.53414652185739,48.53414652185738,48.53414652185739,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-23 20:00:00,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-23 21:00:00,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-23 22:00:00,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-23 23:00:00,48.53414652185738,48.53414652185738,48.53414652185738,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-24 00:00:00,48.53414652185738,48.53414652185738,48.53414652185738,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-24 01:00:00,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739
2050-02-24 02:00:00,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739,48.53414652185739
2050-02-24 03:00:00,48.53414652185738,48.53414652185738,48.53414652185738,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-24 04:00:00,48.534146521857835,48.534146521857835,48.534146521857835,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-24 05:00:00,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-24 06:00:00,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-24 07:00:00,48.53414652185738,48.53414652185738,48.53414652185738,49.44664195845537,49.44664195845537,49.44664195845537,49.44664195845537
2050-02-24 08:00:00,8.99829489682817,8.99829489682817,8.99829489682817,49.44664195845538,49.44664195845538,8.99829489682817,49.44664195845538
2050-02-24 09:00:00,0.0,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-24 10:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-24 11:00:00,0.0,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-24 12:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-24 13:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-24 14:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-24 15:00:00,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324,5e-324
2050-02-24 16:00:00,48.53414652185739,48.53414652185739,48.53414652185739,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-24 17:00:00,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538,49.44664195845538
2050-02-24 18:00:00,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548
2050-02-24 19:00:00,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548
2050-02-24 20:00:00,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548
2050-02-24 21:00:00,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548
2050-02-24 22:00:00,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548
2050-02-24 23:00:00,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548,99.04927861603548
2050-06-19 00:00:00,679.4780513060022,679.4780513060022,679.4780513060022,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 01:00:00,679.4780513060022,679.4780513060022,679.4780513060022,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 02:00:00,679.4780513060097,679.4780513060022,679.4780513060022,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 03:00:00,679.4780513060034,679.4780513060022,679.4780513060034,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 04:00:00,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 05:00:00,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 06:00:00,799.3859427129437,799.3859427129437,799.3859427129437,799.3859427129437,799.3859427129437,799.3859427129437,799.3859427129437
2050-06-19 07:00:00,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356,814.4152793157356
2050-06-19 08:00:00,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 09:00:00,679.4780513060097,679.4780513060097,679.4780513060097,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 10:00:00,679.4780513060097,679.4780513060097,679.4780513060097,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 11:00:00,513.0062323225427,513.0062323225427,513.0062323225427,692.2529874183753,692.2529874183753,692.2529874183753,692.2529874183753
2050-06-19 12:00:00,513.0062323225427,513.0062323225427,513.0062323225427,692.2529874183753,692.2529874183753,692.2529874183753,960.8124834933346
2050-06-19 13:00:00,513.0062323225427,513.0062323225427,513.0062323225427,692.2529874183753,692.2529874183753,692.2529874183753,960.8124834933346
2050-06-19 14:00:00,339.20396383500383,339.2039638349886,339.20396383500383,692.2529874183753,692.2529874183753,692.2529874183753,960.8124834933346
2050-06-19 15:00:00,339.20396383500383,339.20396383500383,339.20396383500383,692.2529874183753,692.2529874183753,692.2529874183753,960.8124834933346
