gid,scenario,latitude,longitude,demand_ammonia_kg,demand_biofuel_kg,demand_ldv_kg,demand_metals_kg,demand_methanol_kg,demand_mhdv_kg,demand_ng_kg,demand_refining_kg,demand_storage_kg,demand_synfuel_kg,supply_lte_kg,supply_nuclearhte_kg,supply_smr_kg
988,Improved Electrolysis,39.55226592,-77.84225273,0,0,0,0,0,0,0,0,0,0,0,0,0
989,Improved Electrolysis,39.59350915,-116.7788677,0,0,0,0,0,0,0,0,0,0,0,0,0
990,Improved Electrolysis,39.63996319,-79.92776353,0,0,0,0,0,0,0,0,0,0,0,0,0
991,Improved Electrolysis,39.64851205,-78.80570393,0,0,0,0,0,0,0,0,0,0,0,0,0
992,Improved Electrolysis,39.71006547,-104.9503094,0,67668611415,0,0,0,0,0,42567015763,0,0,0,0,0
993,Improved Electrolysis,39.72560692,-82.59684763,0,0,0,0,0,0,0,0,0,0,0,0,0
994,Improved Electrolysis,39.75065115,-121.8444552,0,0,0,0,0,0,0,0,0,0,0,0,0
995,Improved Electrolysis,39.75549259,-84.1688282,0,0,0,0,0,0,0,0,0,0,47564816501,0,0
996,Improved Electrolysis,39.75680177,-94.8306913,0,2.35826E+11,0,0,0,0,0,0,0,0,6223793591,0,0
997,Improved Electrolysis,39.77499785,-121.6029511,0,0,0,0,0,0,0,0,0,0,0,0,0
998,Improved Electrolysis,39.7854341,-89.64277076,0,43461141383,0,0,0,0,0,0,0,0,1.16256E+11,0,0
999,Improved Electrolysis,39.81072634,-86.14564358,0,0,0,0,0,0,0,0,0,0,6189292762,0,0
1000,Improved Electrolysis,39.8173497,-77.03710611,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,Improved Electrolysis,39.83162441,-84.88927064,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Improved Electrolysis,39.8450964,-88.935121,0,43461141383,0,0,0,0,0,0,0,0,0,2.25E+11,0
1003,Improved Electrolysis,39.93045,-79.6836566,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,Improved Electrolysis,39.93401385,-77.64343014,0,0,0,0,0,0,0,0,0,0,845216682,0,0
1005,Improved Electrolysis,39.93610769,-91.37748154,0,43461141383,0,0,0,0,0,0,0,0,0,0,0
1006,Improved Electrolysis,39.93770523,-83.81225884,0,14012199928,0,0,0,0,0,0,0,0,0,0,0
1007,Improved Electrolysis,39.95397071,-82.01463461,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,Improved Electrolysis,39.95708188,-76.71629786,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,Improved Electrolysis,39.97364428,-75.29727721,0,42499338997,0,0,0,0,0,3.08948E+11,0,0,0,0,0
1010,Improved Electrolysis,39.99217696,-105.1032828,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,Improved Electrolysis,40.02129778,-82.96922957,0,0,0,0,0,0,0,0,0,0,71788016144,0,0
1012,Improved Electrolysis,40.02813216,-74.56216663,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,Improved Electrolysis,40.03016401,-105.2377919,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,Improved Electrolysis,40.03967627,-82.44734408,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,Improved Electrolysis,40.05406616,-80.72748376,0,14836518833,0,0,0,0,0,0,0,0,0,0,0
1016,Improved Electrolysis,40.08975887,-85.67970521,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,Improved Electrolysis,40.09949081,-76.31242048,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,Improved Electrolysis,40.09960167,-88.24876806,0,86922282766,0,0,0,0,0,0,0,0,0,0,0
1019,Improved Electrolysis,40.11843442,-87.63269034,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,Improved Electrolysis,40.13913174,-79.88372655,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,Improved Electrolysis,40.17079394,-105.0999155,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,Improved Electrolysis,40.19778649,-85.40441217,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,Improved Electrolysis,40.22725545,-74.71922717,0,2879780868,0,0,0,0,0,0,0,0,0,0,0
1024,Improved Electrolysis,40.24666218,-76.8685722,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,Improved Electrolysis,40.26782176,-75.6472847,0,0,0,0,0,0,0,0,0,0,0,3.22874E+11,0
1026,Improved Electrolysis,40.27589537,-111.7295092,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,Improved Electrolysis,40.28642924,-74.57995103,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,Improved Electrolysis,40.3008146,-78.89222086,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,Improved Electrolysis,40.34918156,-76.40483895,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,Improved Electrolysis,40.36311189,-75.9493692,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,Improved Electrolysis,40.37673,-80.61897797,0,14012199928,0,0,0,0,0,0,0,0,0,0,0
1032,Improved Electrolysis,40.397779,-95.658046,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,Improved Electrolysis,40.40571082,-104.7333626,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,Improved Electrolysis,40.42698936,-86.88536657,0,40491996006,0,0,0,0,0,0,0,0,0,0,0
1035,Improved Electrolysis,40.45740886,-79.95063362,0,21249669498,0,0,0,0,0,0,0,0,0,0,0
1036,Improved Electrolysis,40.46601918,-86.14401175,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,Improved Electrolysis,40.48586982,-78.39236418,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,Improved Electrolysis,40.49266207,-81.44526386,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,Improved Electrolysis,40.49343745,-88.97887959,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,Improved Electrolysis,40.49876005,-105.058524,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Improved Electrolysis,40.50380694,-110.3338202,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,Improved Electrolysis,40.53926945,-112.2994268,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Improved Electrolysis,40.54391391,-85.66185015,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,Improved Electrolysis,40.57563028,-122.3613723,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,Improved Electrolysis,40.58011168,-83.11366575,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,Improved Electrolysis,40.63802168,-111.9269069,0,6984999895,0,0,0,0,0,80549891367,0,0,0,0,0
1047,Improved Electrolysis,40.64450902,-80.57044741,0,28024399856,0,0,0,0,0,8860102829,0,0,0,3.86549E+11,0
1048,Improved Electrolysis,40.64704127,-75.43406804,0,0,0,0,0,0,0,0,0,0,0,0,0
